Type,Body_Type,Region,Make,Make_Tier,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Saudi,Full,2014,8.0,80000,120000
Range Rover,SUV,Riyadh,Land Rover,Premium Luxury,Automatic,Gulf Arabic,Full,2015,5.0,140000,260000
Optima,Sedan,Hafar Al-Batin,Kia,Midrange,Automatic,Saudi,Semi Full,2015,2.4,220000,42000
CX3,SUV,Abha,Mazda,Midrange,Automatic,Saudi,Semi Full,2019,2.0,25000,58000
Cayenne S,SUV,Riyadh,Porsche,Premium Luxury,Automatic,Saudi,Full,2012,4.8,189000,85000
Sonata,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2016,2.4,155,48000
Avalon,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2016,3.5,110864,81500
C300,Sedan,Makkah,Chrysler,Entry Level,Automatic,Saudi,Full,2013,5.7,200,55000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2011,4.6,79000,145000
LS,Luxury,Dammam,Lexus,Premium Luxury,Automatic,Saudi,Full,2008,4.6,299000,38000
FJ,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Semi Full,2020,4.0,17000,140000
Land Cruiser,SUV,Riyadh,Toyota,Midrange,Automatic,Saudi,Full,2019,4.6,71000,200000
Tucson,SUV,Jeddah,Hyundai,Midrange,Automatic,Saudi,Standard,2018,2.0,85000,65000
Sunny,Sedan,Riyadh,Nissan,Midrange,Manual,Saudi,Standard,2011,1.4,290,7000
Pajero,SUV,Riyadh,Mitsubishi,Midrange,Automatic,Saudi,Full,2018,3.5,74715,76000
Azera,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Full,2013,3.0,284000,32000
Focus,Hatchback,Khobar,Ford,Midrange,Automatic,Gulf Arabic,Standard,2014,1.6,98000,23000
5,Sedan,Al-Baha,MG,Midrange,Automatic,Saudi,Semi Full,2021,1.5,3400,42000
Spark,Hatchback,Dammam,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2017,1.4,108,20000
Pathfinder,SUV,Al-Ahsa,Nissan,Midrange,Automatic,Saudi,Semi Full,2002,3.3,550000,10000
Accent,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,1.4,204000,23000
ML,SUV,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Semi Full,2010,3.5,139240,45000
Corolla,Sedan,Jazan,Toyota,Midrange,Automatic,Saudi,Semi Full,2013,1.6,296,30000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Other,Semi Full,2017,6.2,105920,149000
A,Other,Riyadh,Mercedes,Premium Luxury,Automatic,Other,Standard,2021,2.0,10000,179000
Altima,Sedan,Aseer,Nissan,Midrange,Automatic,Saudi,Full,2011,2.5,18500,22000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Saudi,Full,2010,5.3,292000,55000
Expedition,SUV,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2013,5.4,270000,49500
Senta fe,SUV,Riyadh,Hyundai,Midrange,Automatic,Gulf Arabic,Full,2015,3.3,350000,52000
Liberty,SUV,Al-Medina,Jeep,Midrange,Automatic,Saudi,Semi Full,2012,3.7,247000,25000
X,Other,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Full,2015,2.0,92000,72000
Land Cruiser Pickup,Pickup,Riyadh,Toyota,Midrange,Manual,Saudi,Standard,2018,4.0,98000,105000
VTC,Other,Riyadh,Nissan,Midrange,Manual,Saudi,Semi Full,2016,4.8,307801,99000
Malibu,Sedan,Abha,Chevrolet,Midrange,Automatic,Saudi,Standard,2020,1.5,62000,57000
The 5,Luxury,Jeddah,BMW,Premium Luxury,Automatic,Saudi,Standard,2019,2.5,38000,140000
Patrol,SUV,Riyadh,Nissan,Midrange,Automatic,Saudi,Full,2010,4.0,208000,72000
Sonata,Sedan,Makkah,Hyundai,Midrange,Automatic,Saudi,Full,2020,2.5,11000,110000
Grand Cherokee,SUV,Al-Namas,Jeep,Midrange,Automatic,Saudi,Semi Full,2014,3.6,245000,55000
Camry,Sedan,Taef,Toyota,Midrange,Automatic,Saudi,Semi Full,2001,9.0,150000,15000
SL,Coupe/Sports,Jeddah,Mercedes,Premium Luxury,Automatic,Saudi,Full,2017,4.7,81000,265000
Previa,MPV,Riyadh,Toyota,Midrange,Automatic,Gulf Arabic,Full,2015,2.4,156000,56500
FJ,SUV,Jeddah,Toyota,Midrange,Automatic,Saudi,Full,2015,4.0,228000,90000
MKZ,Sedan,Riyadh,Lincoln,Premium Luxury,Automatic,Saudi,Semi Full,2013,3.7,98100,71500
Datsun,Other,Dammam,Nissan,Midrange,Manual,Saudi,Semi Full,2015,2.0,182000,29000
Hilux,Pickup,Dammam,Toyota,Midrange,Manual,Saudi,Semi Full,2016,2.7,210800,62000
Yukon,SUV,Riyadh,GMC,Midrange,Automatic,Gulf Arabic,Standard,2016,5.3,88000,141000
Land Cruiser,SUV,Qassim,Toyota,Midrange,Automatic,Saudi,Full,2019,4.5,82808,230000
GLC,Luxury,Dammam,Mercedes,Premium Luxury,Automatic,Gulf Arabic,Full,2020,2.0,4000,225000
Edge,Other,Jeddah,Ford,Midrange,Automatic,Saudi,Full,2011,3.5,70000,60000
6,Sedan,Jeddah,Mazda,Midrange,Automatic,Saudi,Standard,2021,2.5,115,93000
Innova,MPV,Jeddah,Toyota,Midrange,Automatic,Saudi,Standard,2018,2.7,91440,68000
Navara,Pickup,Riyadh,Nissan,Midrange,Manual,Saudi,Semi Full,2015,2.0,45000,50000
Senta fe,SUV,Riyadh,Hyundai,Midrange,Automatic,Other,Semi Full,2016,3.3,50100,69000
G80,Luxury,Riyadh,Genesis,Premium Luxury,Automatic,Saudi,Semi Full,2019,3.8,35449,121500
Carnival,MPV,Jeddah,Kia,Midrange,Automatic,Saudi,Semi Full,2016,3.3,180,38000
Suburban,Other,Al-Medina,Chevrolet,Midrange,Automatic,Other,Full,1999,5.3,70000,20000
Corolla,Sedan,Riyadh,Toyota,Midrange,Automatic,Saudi,Standard,2017,1.6,66200,51000
Camaro,Coupe/Sports,Dammam,Chevrolet,Midrange,Automatic,Other,Full,2018,3.6,89000,109000
Accord,Sedan,Riyadh,Honda,Midrange,Automatic,Saudi,Semi Full,2014,4.0,349000,48000
Malibu,Sedan,Dammam,Chevrolet,Midrange,Automatic,Saudi,Full,2016,3.6,105000,47000
C300,Sedan,Riyadh,Chrysler,Entry Level,Automatic,Saudi,Full,2017,5.7,130000,88000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Semi Full,2011,1.6,212000,15000
Sunny,Sedan,Riyadh,Nissan,Midrange,Automatic,Saudi,Standard,2014,1.5,139740,20000
Azera,Sedan,Riyadh,Hyundai,Midrange,Automatic,Other,Semi Full,2017,3.5,256,47000
Tahoe,SUV,Riyadh,Chevrolet,Midrange,Automatic,Gulf Arabic,Full,2017,5.3,73000,142000
Datsun,Other,Qassim,Nissan,Midrange,Manual,Saudi,Standard,2016,2.4,866,53000
Innova,MPV,Qassim,Toyota,Midrange,Automatic,Saudi,Semi Full,2015,2.7,216,39000
Taurus,Sedan,Makkah,Ford,Midrange,Automatic,Saudi,Semi Full,2016,2.0,148000,58000
Avalon,Sedan,Jeddah,Toyota,Midrange,Automatic,Saudi,Semi Full,2014,3.5,188257,78500
Camry,Sedan,Qassim,Toyota,Midrange,Automatic,Gulf Arabic,Standard,2016,2.5,117000,60000
Tahoe,SUV,Jeddah,Chevrolet,Midrange,Automatic,Saudi,Semi Full,2013,5.3,211257,60000
Elantra,Sedan,Riyadh,Hyundai,Midrange,Automatic,Saudi,Standard,2017,2.0,135000,35000
Flex,Other,Riyadh,Ford,Midrange,Automatic,Saudi,Standard,2015,3.6,290000,30000
S,Other,Al-Medina,Mercedes,Premium Luxury,Automatic,Saudi,Full,2007,3.0,270000,45000
Cerato,Other,Jeddah,Kia,Midrange,Automatic,Saudi,Standard,2019,1.6,43632,45500
Furniture,Other,Taef,Toyota,Midrange,Manual,Saudi,Standard,2009,2.7,530500,33000
